FagNivaa;EnhetNivaa;Vurderingsfagkode;Nasjonaltkode;Fylkekode;Organisasjonsnummer;Vurderingsfagnavn;Nasjonalt;Fylke;EnhetNavn;2024-25.Skriftlig eksamen.Alle eierformer.Alle kjønn.Snittkarakter;2024-25.Skriftlig eksamen.Alle eierformer.Alle kjønn.Antall elever
2;0;ENG1007;Alle;0;Alle;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Alle fylker;Alle skoler;4,2;3 173
2;1;ENG1007;I;0;I;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Alle fylker;Alle skoler;4,2;3 173
2;2;ENG1007;I;42;42;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Alle skoler;4,3;306
2;3;ENG1007;I;42;982759846;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Akademiet Kristiansand AS;4,5;13
2;3;ENG1007;I;42;974573873;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Arendal videregående skole avd Tyholmen;3,9;35
2;3;ENG1007;I;42;974573881;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Dahlske videregående skole;4,4;14
2;3;ENG1007;I;42;974117738;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Drottningborg Vgs AS;4,6;8
2;3;ENG1007;I;42;874595012;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Eilert Sundt videregående skole Studiested Farsund;4,2;12
2;3;ENG1007;I;42;974595141;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Flekkefjord videregående skole Studiested Flekkefjord;4,6;14
2;3;ENG1007;I;42;974594994;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Kristiansand katedralskole Gimle;4;30
2;3;ENG1007;I;42;974595117;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Kvadraturen videregående skole;4,9;50
2;3;ENG1007;I;42;973149776;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Kvs-Lyngdal AS;4,5;18
2;3;ENG1007;I;42;974573857;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Lillesand videregående skole;4,3;16
2;3;ENG1007;I;42;974573814;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Sam Eyde videregående skole;*;*
2;3;ENG1007;I;42;874573892;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Setesdal vidaregåande skule;3,7;22
2;3;ENG1007;I;42;928112535;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Smi-Skolen i Agder;*;*
2;3;ENG1007;I;42;974595184;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Søgne videregående skole;3,3;8
2;3;ENG1007;I;42;874595152;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Tangen videregående skole;4,8;6
2;3;ENG1007;I;42;974573865;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Tvedestrand videregående skole;4,1;39
2;3;ENG1007;I;42;974595001;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Vågsbygd videregående skole;4,2;13
2;2;ENG1007;I;32;32;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Alle skoler;4;440
2;3;ENG1007;I;32;974587742;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Asker videregående skole;5,2;15
2;3;ENG1007;I;32;974587637;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Bjertnes videregående skole;4,2;12
2;3;ENG1007;I;32;974587602;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Bjørkelangen videregående skole;4,2;10
2;3;ENG1007;I;32;974587831;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Bleiker videregående skole;3,5;17
2;3;ENG1007;I;32;974587890;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Dønski videregående skole;4;20
2;3;ENG1007;I;32;974587661;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Eidsvoll videregående skole;3,9;9
2;3;ENG1007;I;32;974587726;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Eikeli videregående skole;4,1;25
2;3;ENG1007;I;32;825322922;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Feiring videregående skole AS;*;*
2;3;ENG1007;I;32;988843709;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Frogn videregående skole;3,3;12
2;3;ENG1007;I;32;974587645;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Jessheim videregående skole;3,8;12
2;3;ENG1007;I;32;974587750;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Lillestrøm videregående skole;4,7;25
2;3;ENG1007;I;32;974587610;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Lørenskog videregående skole;4,1;12
2;3;ENG1007;I;32;991815325;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Mailand videregående skole;3,9;16
2;3;ENG1007;I;32;974587734;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Nadderud videregående skole;4,3;10
2;3;ENG1007;I;32;988084948;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Nannestad videregående skole;3,9;13
2;3;ENG1007;I;32;974587653;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Nes videregående skole;3,3;7
