FagNivaa;EnhetNivaa;Vurderingsfagkode;Nasjonaltkode;Fylkekode;Organisasjonsnummer;Vurderingsfagnavn;Nasjonalt;Fylke;EnhetNavn;2024-25.Standpunkt.Alle eierformer.Alle kjønn.Snittkarakter;2024-25.Standpunkt.Alle eierformer.Alle kjønn.Antall elever
2;0;ENG1007;Alle;0;Alle;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Alle fylker;Alle skoler;4,5;35 107
2;1;ENG1007;I;0;I;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Alle fylker;Alle skoler;4,5;35 107
2;2;ENG1007;I;42;42;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Alle skoler;4,6;2 038
2;3;ENG1007;I;42;982759846;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Akademiet Kristiansand AS;4,5;61
2;3;ENG1007;I;42;974573873;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Arendal videregående skole avd Tyholmen;4,6;176
2;3;ENG1007;I;42;974573881;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Dahlske videregående skole;4,5;98
2;3;ENG1007;I;42;974117738;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Drottningborg Vgs AS;4,8;66
2;3;ENG1007;I;42;874595012;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Eilert Sundt videregående skole Studiested Farsund;4,2;72
2;3;ENG1007;I;42;974595141;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Flekkefjord videregående skole Studiested Flekkefjord;4,9;70
2;3;ENG1007;I;42;974594994;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Kristiansand katedralskole Gimle;4,7;355
2;3;ENG1007;I;42;974595117;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Kvadraturen videregående skole;4,4;113
2;3;ENG1007;I;42;973149776;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Kvs-Lyngdal AS;5;88
2;3;ENG1007;I;42;974573857;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Lillesand videregående skole;4,4;69
2;3;ENG1007;I;42;974595125;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Mandal videregående skole;4,4;113
2;3;ENG1007;I;42;994557416;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Oasen videregående skole AS;4,7;24
2;3;ENG1007;I;42;974573806;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Risør videregående skole;*;*
2;3;ENG1007;I;42;974573814;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Sam Eyde videregående skole;4;144
2;3;ENG1007;I;42;874573892;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Setesdal vidaregåande skule;4,4;47
2;3;ENG1007;I;42;974595060;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Sirdal videregående skole;4,4;28
2;3;ENG1007;I;42;928112535;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Smi-Skolen i Agder;*;*
2;3;ENG1007;I;42;974595184;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Søgne videregående skole;4,7;19
2;3;ENG1007;I;42;874595152;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Tangen videregående skole;4,8;194
2;3;ENG1007;I;42;974573865;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Tvedestrand videregående skole;4,5;93
2;3;ENG1007;I;42;974595044;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Vennesla videregående skole;4,8;44
2;3;ENG1007;I;42;974595001;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Agder;Vågsbygd videregående skole;4,4;153
2;2;ENG1007;I;32;32;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Alle skoler;4,5;5 473
2;3;ENG1007;I;32;931696068;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Akademiet Vgs Sandvika AS;4,8;28
2;3;ENG1007;I;32;974587742;Engelsk vg1 studieforberedende utdanningsprogram;Hele landet;Akershus;Asker videregående skole;4,9;214
